Time,Roll,Pitch,Roll Correction,Pitch Correction,Height
0.9,0,0,0,0,0.36704246
0.91,0,0,0,0,0.3914898143
0.92,0,0,0,0,0.4162412938
0.93,0,0,0,0,0.4412931111
0.94,0,0,0,0,0.4666414775
0.95,0,0,0,0,0.4922826034
0.96,0,0,0,0,0.5182126979
0.97,0,0,0,0,0.5444279692
0.98,0,0,0,0,0.5709246246
0.99,0,0,0,0,0.59769887
1,0,0,0,0,0.6247469104
1.01,0,0,0,0,0.6520649499
1.02,0,0,0,0,0.6796491913
1.03,0,0,0,0,0.7074958363
1.04,0,0,0,0,0.7356010858
1.05,0,0,0,0,0.7639611394
1.06,0,0,0,0,0.7925721959
1.07,0,0,0,0,0.8214304526
1.08,0,0,0,0,0.8505321061
1.09,0,0,0,0,0.879873352
1.1,0,0,0,0,0.9094503844
1.11,0,0,0,0,0.9392593967
1.12,0,0,0,0,0.9692965812
1.13,0,0,0,0,0.9995581289
1.14,0,0,0,0,1.03004023
1.15,0,0,0,0,1.060739074
1.16,0,0,0,0,1.091650848
1.17,0,0,0,0,1.122771739
1.18,0,0,0,0,1.154097933
1.19,0,0,0,0,1.185625615
1.2,0,0,0,0,1.217351972
1.21,0,0,0,0,1.249279001
1.22,0,0,0,0,1.28141037
1.23,0,0,0,0,1.313749793
1.24,0,0,0,0,1.346300983
1.25,0,0,0,0,1.379067655
1.26,0,0,0,0,1.412053524
1.27,0,0,0,0,1.445262307
1.28,0,0,0,0,1.478697722
1.29,0,0,0,0,1.512363487
1.3,0,0,0,0,1.546263323
1.31,0,0,0,0,1.580400951
1.32,0,0,0,0,1.614780092
1.33,0,0,0,0,1.649404469
1.34,0,0,0,0,1.684277807
1.35,0,0,0,0,1.71940383
1.36,0,0,0,0,1.754786265
1.37,0,0,0,0,1.790428759
1.38,0,0,0,0,1.826333646
1.39,0,0,0,0,1.862502336
1.4,0,0,0,0,1.89893619
1.41,0,0,0,0,1.935636566
1.42,0,0,0,0,1.972604825
1.43,0,0,0,0,2.009842327
1.44,0,0,0,0,2.047350432
1.45,0,0,0,0,2.085130502
1.46,0,0,0,0,2.123183898
1.47,0,0,0,0,2.161511982
1.48,0,0,0,0,2.200116117
1.49,0,0,0,0,2.238997664
1.5,0,0,0,0,2.278157988
1.51,0,0,0,0,2.317598451
1.52,0,0,0,0,2.357320417
1.53,0,0,0,0,2.397325251
1.54,0,0,0,0,2.437614316
1.55,0,0,0,0,2.478188979
1.56,0,0,0,0,2.519050604
1.57,0,0,0,0,2.560200556
1.58,0,0,0,0,2.601638934
1.59,0,0,0,0,2.643361925
1.6,0,0,0,0,2.685365035
1.61,0,0,0,0,2.727643768
1.62,0,0,0,0,2.770193626
1.63,0,0,0,0,2.81301011
1.64,0,0,0,0,2.85608872
1.65,0,0,0,0,2.899424954
1.66,0,0,0,0,2.94301431
1.67,0,0,0,0,2.986852283
1.68,0,0,0,0,3.030934369
1.69,0,0,0,0,3.07525606
1.7,0,0,0,0,3.119812849
1.71,0,0,0,0,3.164600227
1.72,0,0,0,0,3.209613684
1.73,0,0,0,0,3.254848706
1.74,0,0,0,0,3.300301906
1.75,0,0,0,0,3.345971952
1.76,0,0,0,0,3.391857644
1.77,0,0,0,0,3.437957781
1.78,0,0,0,0,3.48427116
1.79,0,0,0,0,3.53079658
1.8,0,0,0,0,3.577532837
1.81,0,0,0,0,3.62447873
1.82,0,0,0,0,3.671633055
1.83,0,0,0,0,3.718994608
1.84,0,0,0,0,3.766562186
1.85,0,0,0,0,3.814334585
1.86,0,0,0,0,3.8623106
1.87,0,0,0,0,3.910489026
1.88,0,0,0,0,3.958868658
1.89,0,0,0,0,4.007448291
1.9,0,0,0,0,4.056226718
1.91,0,0,0,0,4.105202734
1.92,0,0,0,0,4.154375131
1.93,0,0,0,0,4.203742704
1.94,0,0,0,0,4.253304244
1.95,0,0,0,0,4.303058544
1.96,0,0,0,0,4.353004396
1.97,0,0,0,0,4.403140593
1.98,0,0,0,0,4.453465925
1.99,0,0,0,0,4.503979183
2,0,0,0,0,4.554679158
2.01,0,0,0,0,4.60556466
2.02,0,0,0,0,4.65663458
2.03,0,0,0,0,4.707887826
2.04,0,0,0,0,4.759323307
2.05,0,0,0,0,4.810939932
2.06,0,0,0,0,4.86273661
2.07,0,0,0,0,4.914712248
2.08,0,0,0,0,4.966865755
2.09,0,0,0,0,5.019196037
2.1,0,0,0,0,5.071702002
2.11,0,0,0,0,5.124382557
2.12,0,0,0,0,5.177236607
2.13,0,0,0,0,5.230263061
2.14,0,0,0,0,5.283460822
2.15,0,0,0,0,5.336828798
2.16,0,0,0,0,5.390365892
2.17,0,0,0,0,5.444071011
2.18,0,0,0,0,5.497943058
2.19,0,0,0,0,5.551980938
2.2,0,0,0,0,5.606183556
2.21,0,0,0,0,5.660549814
2.22,0,0,0,0,5.715078617
2.23,0,0,0,0,5.769768867
2.24,0,0,0,0,5.824619467
2.25,0,0,0,0,5.879629319
2.26,0,0,0,0,5.934797326
2.27,0,0,0,0,5.99012239
2.28,0,0,0,0,6.045603412
2.29,0,0,0,0,6.101239293
2.3,0,0,0,0,6.157028934
2.31,0,0,0,0,6.212971236
2.32,0,0,0,0,6.269065099
2.33,0,0,0,0,6.325309423
2.34,0,0,0,0,6.381703108
2.35,0,0,0,0,6.438245052
2.36,0,0,0,0,6.494934156
2.37,0,0,0,0,6.551769317
2.38,0,0,0,0,6.608749434
2.39,0,0,0,0,6.665873406
2.4,0,0,0,0,6.723140057
2.41,0,0,0,0,6.780547921
2.42,0,0,0,0,6.838095461
2.43,0,0,0,0,6.895781138
2.44,0,0,0,0,6.953603412
2.45,0,0,0,0,7.011560743
2.46,0,0,0,0,7.069651591
2.47,0,0,0,0,7.127874416
2.48,0,0,0,0,7.186227677
2.49,0,0,0,0,7.244709831
2.5,0,0,0,0,7.303319337
2.51,0,0,0,0,7.362054653
2.52,0,0,0,0,7.420914236
2.53,0,0,0,0,7.479896542
2.54,0,0,0,0,7.539000027
2.55,0,0,0,0,7.598223148
2.56,0,0,0,0,7.65756436
2.57,0,0,0,0,7.717022117
2.58,0,0,0,0,7.776594875
2.59,0,0,0,0,7.836281087
2.6,0,0,0,0,7.896079208
2.61,0,0,0,0,7.955987689
2.62,0,0,0,0,8.016004984
2.63,0,0,0,0,8.076129545
2.64,0,0,0,0,8.136359824
2.65,0,0,0,0,8.196694272
2.66,0,0,0,0,8.25713134
2.67,0,0,0,0,8.31766948
2.68,0,0,0,0,8.37830714
2.69,0,0,0,0,8.439043049
2.7,0,0,0,0,8.499877055
2.71,0,0,0,0,8.560809281
2.72,0,0,0,0,8.621839853
2.73,0,0,0,0,8.682968896
2.74,0,0,0,0,8.744196535
2.75,0,0,0,0,8.805522896
2.76,0,0,0,0,8.866948104
2.77,0,0,0,0,8.928472283
2.78,0,0,0,0,8.990095561
2.79,0,0,0,0,9.051818061
2.8,0,0,0,0,9.11363991
2.81,0,0,0,0,9.175561233
2.82,0,0,0,0,9.237582155
2.83,0,0,0,0,9.299702802
2.84,0,0,0,0,9.361923299
2.85,0,0,0,0,9.424243773
2.86,0,0,0,0,9.486664349
2.87,0,0,0,0,9.549185152
2.88,0,0,0,0,9.611806309
2.89,0,0,0,0,9.674527944
2.9,0,0,0,0,9.737350185
2.91,0,0,0,0,9.800273156
2.92,0,0,0,0,9.863296984
2.93,0,0,0,0,9.926421794
2.94,0,0,0,0,9.989647713
2.95,0,0,0,0,10.05297487
2.96,0,0,0,0,10.11640338
2.97,0,0,0,0,10.17993338
2.98,0,0,0,0,10.24356496
2.99,0,0,0,0,10.30729822
3,0,0,0,0,10.37113327
3.01,0,0,0,0,10.4350702
3.02,0,0,0,0,10.4991091
3.03,0,0,0,0,10.56325009
3.04,0,0,0,0,10.62749325
3.05,0,0,0,0,10.69183869
3.06,0,0,0,0,10.75628651
3.07,0,0,0,0,10.8208368
3.08,0,0,0,0,10.88548966
3.09,0,0,0,0,10.95024519
3.1,0,0,0,0,11.01510349
3.11,0,0,0,0,11.08006466
3.12,0,0,0,0,11.1451288
3.13,0,0,0,0,11.21029601
3.14,0,0,0,0,11.27556638
3.15,0,0,0,0,11.34094002
3.16,0,0,0,0,11.40641702
3.17,0,0,0,0,11.47199749
3.18,0,0,0,0,11.53768152
3.19,0,0,0,0,11.60346921
3.2,0,0,0,0,11.66936066
3.21,0,0,0,0,11.73535597
3.22,0,0,0,0,11.80145524
3.23,0,0,0,0,11.86765857
3.24,0,0,0,0,11.93396606
3.25,0,0,0,0,12.00037781
3.26,0,0,0,0,12.06689385
3.27,0,0,0,0,12.133514
3.28,0,0,0,0,12.20023798
3.29,0,0,0,0,12.26706554
3.3,0,0,0,0,12.33399642
3.31,0,0,0,0,12.40103037
3.32,0,0,0,0,12.46816711
3.33,0,0,0,0,12.53540641
3.34,0,0,0,0,12.60274798
3.35,0,0,0,0,12.67019158
3.36,0,0,0,0,12.73771725
3.37,0,0,0,0,12.80522625
3.38,0,0,0,0,12.8726001
3.39,0,0,0,0,12.93972029
3.4,0,0,0,0,13.00638675
3.41,0,0,0,0,13.07217451
3.42,0,0,0,0,13.13698228
3.43,0,0,0,0,13.20081005
3.44,0,0,0,0,13.26365782
3.45,0,0,0,0,13.32552559
3.46,0,0,0,0,13.38641335
3.47,0,0,0,0,13.44632112
3.48,0,0,0,0,13.50524889
3.49,0,0,0,0,13.56319666
3.5,0,0,0,0,13.62016443
3.51,0,0,0,0,13.67615219
3.52,0,0,0,0,13.73115996
3.53,0,0,0,0,13.78518773
3.54,0,0,0,0,13.8382355
3.55,0,0,0,0,13.89030327
3.56,0,0,0,0,13.94139103
3.57,0,0,0,0,13.9914988
3.58,0,0,0,0,14.04062657
3.59,0,0,0,0,14.08877434
3.6,0,0,0,0,14.13594211
3.61,0,0,0,0,14.18212987
3.62,0,0,0,0,14.22733764
3.63,0,0,0,0,14.27156541
3.64,0,0,0,0,14.31481318
3.65,0,0,0,0,14.35708095
3.66,0,0,0,0,14.39836871
3.67,0,0,0,0,14.43867648
3.68,0,0,0,0,14.47800425
3.69,0,0,0,0,14.51635202
3.7,0,0,0,0,14.55371979
3.71,0,0,0,0,14.59010755
3.72,0,0,0,0,14.62551532
3.73,0,0,0,0,14.65994309
3.74,0,0,0,0,14.69339086
3.75,0,0,0,0,14.72585863
3.76,0,0,0,0,14.75734639
3.77,0,0,0,0,14.78785416
3.78,0,0,0,0,14.81738193
3.79,0,0,0,0,14.8459297
3.8,0,0,0,0,14.87349747
3.81,0,0,0,0,14.90008523
3.82,0,0,0,0,14.925693
3.83,0,0,0,0,14.95032077
3.84,0,0,0,0,14.97396854
3.85,0,0,0,0,14.9966363
3.86,0,0,0,0,15.01832407
3.87,0,0,0,0,15.03903184
3.88,0,0,0,0,15.05875961
3.89,0,0,0,0,15.07750738
3.9,0,0,0,0,15.09527514
3.91,0,0,0,0,15.11206291
3.92,0,0,0,0,15.12787068
3.93,0,0,0,0,15.14269845
3.94,0,0,0,0,15.15654622
3.95,0,0,0,0,15.16941398
3.96,0,0,0,0,15.18130175
3.97,0,0,0,0,15.19220952
3.98,0,0,0,0,15.20213729
3.99,0,0,0,0,15.21108506
4,0,0,0,0,15.21905282
4.01,0,0,0,0,15.22604059
4.02,0,0,0,0,15.23204836
4.03,0,0,0,0,15.23707613
4.04,0,0,0,0,15.2411239
4.05,0,0,0,0,15.24419166
4.06,0,0,0,0,15.24627943
4.07,0,0,0,0,15.2473872
4.08,0,0,0,0,15.24751497
4.09,0,0,0,0,15.24666274
4.1,0,0,0,0,15.2448305
4.11,0,0,0,0,15.24201827
4.12,0,0,0,0,15.23822604
4.13,0,0,0,0,15.23345381
4.14,0,0,0,0,15.22770158
4.15,0,0,0,0,15.22096934
4.16,0,0,0,0,15.21325711
4.17,0,0,0,0,15.20456488
4.18,0,0,0,0,15.19489265
4.19,0,0,0,0,15.18424042
4.2,0,0,0,0,15.17260818
4.21,0,0,0,0,15.15999595
4.22,0,0,0,0,15.14640372
4.23,0,0,0,0,15.13183149
4.24,0,0,0,0,15.11627926
4.25,0,0,0,0,15.09974702
4.26,0,0,0,0,15.08223479
4.27,0,0,0,0,15.06374256
4.28,0,0,0,0,15.04427033
4.29,0,0,0,0,15.0238181
4.3,0,0,0,0,15.00238586
4.31,0,0,0,0,14.97997363
4.32,0,0,0,0,14.9565814
4.33,0,0,0,0,14.93220917
4.34,0,0,0,0,14.90685694
4.35,0,0,0,0,14.8805247
4.36,0,0,0,0,14.85321247
4.37,0,0,0,0,14.82492024
4.38,0,0,0,0,14.79564801
4.39,0,0,0,0,14.76539578
4.4,0,0,0,0,14.73416354
4.41,0,0,0,0,14.70195131
4.42,0,0,0,0,14.66875908
4.43,0,0,0,0,14.63458685
4.44,0,0,0,0,14.59943461
4.45,0,0,0,0,14.56330238
4.46,0,0,0,0,14.52619015
4.47,0,0,0,0,14.48809792
4.48,0,0,0,0,14.44902569
4.49,0,0,0,0,14.40897345
4.5,0,0,0,0,14.36794122
4.51,0,0,0,0,14.32592899
4.52,0,0,0,0,14.28293676
4.53,0,0,0,0,14.23896453
4.54,0,0,0,0,14.19401229
4.55,0,0,0,0,14.14808006
4.56,0,0,0,0,14.10116783
4.57,0,0,0,0,14.0532756
4.58,0,0,0,0,14.00440337
4.59,0,0,0,0,13.95455113
4.6,0,0,0,0,13.9037189
4.61,0,0,0,0,13.85190667
4.62,0,0,0,0,13.79911444
4.63,0,0,0,0,13.74534221
4.64,0,0,0,0,13.69058997
4.65,0,0,0,0,13.63485774
4.66,0,0,0,0,13.57814551
4.67,0,0,0,0,13.52045328
4.68,0,0,0,0,13.46178105
4.69,0,0,0,0,13.40212881
4.7,0,0,0,0,13.34149658
4.71,0,0,0,0,13.27988435
4.72,0,0,0,0,13.21729212
4.73,0,0,0,0,13.15371989
4.74,0,0,0,0,13.08916765
4.75,0,0,0,0,13.02363542
4.76,0,0,0,0,12.95712319
4.77,0,0,0,0,12.88963096
4.78,0,0,0,0,12.82115873
4.79,0,0,0,0,12.75170649
4.8,0,0,0,0,12.68127426
4.81,0,0,0,0,12.60986203
4.82,0,0,0,0,12.5374698
4.83,0,0,0,0,12.46409757
4.84,0,0,0,0,12.38974871
4.85,0,0,0,0,12.31444427
4.86,0,0,0,0,12.23821216
4.87,0,0,0,0,12.16108051
4.88,0,0,0,0,12.08307747
4.89,0,0,0,0,12.00423116
4.9,0,0,0,0,11.92457026
4.91,0,0,0,0,11.8441265
4.92,0,0,0,0,11.76293388
4.93,0,0,0,0,11.68102696
4.94,0,0,0,0,11.59844026
4.95,0,0,0,0,11.51520949
4.96,0,0,0,0,11.43138093
4.97,0,0,0,0,11.34702718
4.98,0,0,0,0,11.2622303
4.99,0,0,0,0,11.17707214
5,0,0,0,0,11.09163039
5.01,0,0,0,0,11.00597225
5.02,0,0,0,0,10.92016119
5.03,0,0,0,0,10.83426055
5.04,0,0,0,0,10.74833367
5.05,0,0,0,0,10.6624439
5.06,0,0,0,0,10.57665434
5.07,0,0,0,0,10.49102583
5.08,0,0,0,0,10.40561357
5.09,0,0,0,0,10.32047074
5.1,0,0,0,0,10.23565048
5.11,0,0,0,0,10.1512059
5.12,0,0,0,0,10.06719014
5.13,0,0,0,0,9.983656311
5.14,0,0,0,0,9.900657547
5.15,0,0,0,0,9.818246971
5.16,0,0,0,0,9.736477708
5.17,0,0,0,0,9.655402882
5.18,0,0,0,0,9.575082134
5.19,0,0,0,0,9.495609197
5.2,0,0,0,0,9.417091075
5.21,0,0,0,0,9.339635196
5.22,0,0,0,0,9.263342425
5.23,0,0,0,0,9.18826946
5.24,0,0,0,0,9.114408138
5.25,0,0,0,0,9.041729825
5.26,0,0,0,0,8.970204155
5.27,0,0,0,0,8.89979396
5.28,0,0,0,0,8.830454134
5.29,0,0,0,0,8.762137279
5.3,0,0,0,0,8.694795923
5.31,0,0,0,0,8.628382598
5.32,0,0,0,0,8.562851199
5.33,0,0,0,0,8.498162935
5.34,0,0,0,0,8.434282592
5.35,0,0,0,0,8.371175357
5.36,0,0,0,0,8.308806426
5.37,0,0,0,0,8.247140995
5.38,0,0,0,0,8.186144259
5.39,0,0,0,0,8.125781417
5.4,0,0,0,0,8.066017662
5.41,0,0,0,0,8.006818191
5.42,0,0,0,0,7.9481507
5.43,0,0,0,0,7.889997027
5.44,0,0,0,0,7.832349703
5.45,0,0,0,0,7.775203604
5.46,0,0,0,0,7.718553673
5.47,0,0,0,0,7.662394856
5.48,0,0,0,0,7.606722097
5.49,0,0,0,0,7.55153034
